"id","location_id","code","description","node_ids","ordinance_document_id","document_node_ids"
29,5,"MU/L","Mixed-Use/Large","{1427}",8,"{""8"": [1427]}"
30,5,"MU/R","Mixed-Use/Regional","{1461}",8,"{""8"": [1461]}"
108,9,"A(A)","Agricultural District","{}",5,"{""5"": []}"
109,9,"R-1ac(A)","Single Family District 1 acre","{}",5,"{""5"": []}"
110,9,"R-1/2ac(A)","Single Family District 1/2 acre","{}",5,"{""5"": []}"
111,9,"R-16(A)","Single Family District 16,000 square feet","{}",5,"{""5"": []}"
112,9,"R-13(A)","Single Family District 13,000 square feet","{}",5,"{""5"": []}"
113,9,"R-10(A)","Single Family District 10,000 square feet","{}",5,"{""5"": []}"
114,9,"R-7.5(A)","Single Family District 7,500 square feet","{}",5,"{""5"": []}"
115,9,"R-5(A)","Single Family District 5,000 square feet","{}",5,"{""5"": []}"
116,9,"D(A)","Duplex District","{}",5,"{""5"": []}"
117,9,"TH-1(A)","Townhouse District 1","{}",5,"{""5"": []}"
118,9,"TH-2(A)","Townhouse District 2","{}",5,"{""5"": []}"
119,9,"TH-3(A)","Townhouse District 3","{}",5,"{""5"": []}"
120,9,"CH","Clustered Housing District","{}",5,"{""5"": []}"
121,9,"MF-1(A)","Multifamily District 1","{}",5,"{""5"": []}"
122,9,"MF-1(SAH)","Multifamily District 1 Affordable","{}",5,"{""5"": []}"
123,9,"MF-2(A)","Multifamily District 2","{}",5,"{""5"": []}"
124,9,"MF-2(SAH)","Multifamily District 2 Affordable","{}",5,"{""5"": []}"
125,9,"MF-3(A)","Multifamily District 3","{}",5,"{""5"": []}"
126,9,"MF-4(A)","Multifamily District 4","{}",5,"{""5"": []}"
127,9,"MH(A)","Manufactured Home District","{}",5,"{""5"": []}"
128,9,"NO(A)","Neighborhood Office District","{}",5,"{""5"": []}"
129,9,"LO-1","Limited Office District 1","{}",5,"{""5"": []}"
130,9,"LO-2","Limited Office District 2","{}",5,"{""5"": []}"
131,9,"LO-3","Limited Office District 3","{}",5,"{""5"": []}"
132,9,"MO-1","Mid-Range Office District 1","{}",5,"{""5"": []}"
133,9,"MO-2","Mid-Range Office District 2","{}",5,"{""5"": []}"
134,9,"GO(A)","General Office District","{}",5,"{""5"": []}"
135,9,"NS(A)","Neighborhood Service District","{}",5,"{""5"": []}"
136,9,"CR","Community Retail District","{}",5,"{""5"": []}"
137,9,"RR","Regional Retail District","{}",5,"{""5"": []}"
138,9,"CS","Commercial Service District","{}",5,"{""5"": []}"
139,9,"LI","Light Industrial District","{}",5,"{""5"": []}"
140,9,"IR","Industrial/research District","{}",5,"{""5"": []}"
141,9,"IM","Industrial manufacturing District","{}",5,"{""5"": []}"
142,9,"CA-1(A)","Central Area District 1","{}",5,"{""5"": []}"
143,9,"CA-2(A)","Central Area District 2","{}",5,"{""5"": []}"
144,9,"MU-1","Mixed Use District 1","{}",5,"{""5"": []}"
145,9,"MU-1(SAH)","Mixed Use District 1 Affordable","{}",5,"{""5"": []}"
146,9,"MU-2","Mixed Use District 2","{}",5,"{""5"": []}"
147,9,"MU-2(SAH)","Mixed Used District 2 Affordable","{}",5,"{""5"": []}"
148,9,"MU-3","Mixed Use District 3","{}",5,"{""5"": []}"
149,9,"MU-3(SAH)","Mixed Used District 3 Affordable","{}",5,"{""5"": []}"
150,9,"MC-1","Multiple Commerical District 1","{}",5,"{""5"": []}"
151,9,"MC-2","Multiple Commerical District 2","{}",5,"{""5"": []}"
152,9,"MC-3","Multiple Commerical District 3","{}",5,"{""5"": []}"
153,9,"MC-4","Multiple Commerical District 4","{}",5,"{""5"": []}"
154,9,"UC-1","Urban Corridor District 1","{}",5,"{""5"": []}"
155,9,"UC-2","Urban Corridor District 2","{}",5,"{""5"": []}"
156,9,"UC-3","Urban Corridor District 3","{}",5,"{""5"": []}"
157,9,"PD","Planned Development District","{}",5,"{""5"": []}"
191,7,"P-1","Parking P-1; Passenger Vehicle Parking, Limited","{3322}",14,"{""14"": [3322]}"
193,7,"P-3","Parking P-3","{3354}",14,"{""14"": [3354]}"
194,7,"P-4","Parking P-4","{3384}",14,"{""14"": [3384]}"
206,19,"A-1","Agricultural","{}",9,"{""9"": []}"
207,19,"RR-45","Rural Residence-45","{}",9,"{""9"": []}"
208,19,"SR-30","Suburban Residence-30","{}",9,"{""9"": []}"
209,19,"SR-17","Suburban Residence-17","{}",9,"{""9"": []}"
210,19,"SR-12","Suburban Residence-12","{}",9,"{""9"": []}"
211,19,"R1-10","Single Residence-10","{}",9,"{""9"": []}"
212,19,"R1-8","Single Residence-8","{}",9,"{""9"": []}"
213,19,"R1-7","Single Residence-7","{}",9,"{""9"": []}"
214,19,"R1-6","Single Residence-6","{}",9,"{""9"": []}"
215,19,"R1-4","Single Residence-4","{}",9,"{""9"": []}"
216,19,"R-2","Mixed Residence-2","{}",9,"{""9"": []}"
217,19,"R-3","Mixed Residence-3","{}",9,"{""9"": []}"
218,19,"R-4","Mixed Residence-4","{}",9,"{""9"": []}"
219,19,"R-5","Mixed Residence-5","{}",9,"{""9"": []}"
220,19,"R-O","Residential Office","{}",9,"{""9"": []}"
221,19,"C-O","Commercial Office","{}",9,"{""9"": []}"
222,19,"G-O","General Office","{}",9,"{""9"": []}"
223,19,"C-1","Neighborhood Commercial","{}",9,"{""9"": []}"
224,19,"C-2","General Commercial","{}",9,"{""9"": []}"
225,19,"C-3","Heavy Commercial","{}",9,"{""9"": []}"
226,19,"PR","Pedestrian Retail","{}",9,"{""9"": []}"
227,19,"B-P","Business Park","{}",9,"{""9"": []}"
228,19,"M-1","Light Industrial","{}",9,"{""9"": []}"
229,19,"M-2","Heavy Industrial","{}",9,"{""9"": []}"
230,19,"PAD","Planned Area Development","{}",9,"{""9"": []}"
231,19,"SU","Special Use","{}",9,"{""9"": []}"
232,19,"PRD","Planned Residential Development","{}",9,"{""9"": []}"
233,19,"ARO","Adaptive Reuse","{}",9,"{""9"": []}"
234,19,"IDO","Infill Development","{}",9,"{""9"": []}"
235,19,"AIO","Airport Impact","{}",9,"{""9"": []}"
236,19,"MH","Mobile/Manufactured Home","{}",9,"{""9"": []}"
237,19,"HP","Historic Preservation","{}",9,"{""9"": []}"
238,19,"SCO","Senior Citizen","{}",9,"{""9"": []}"
239,19,"GCO","Glendale Centerline","{}",9,"{""9"": []}"
240,19,"SEC","Scenic Corridor","{}",9,"{""9"": []}"
241,19,"SOC","Sonorita Community","{}",9,"{""9"": []}"
242,23,"AG","Agricultural","{}",16,"{""16"": []}"
243,23,"R1-15","Single-Family Residential-15","{}",16,"{""16"": []}"
244,23,"R1-10","Single-Family Residential-10","{}",16,"{""16"": []}"
245,23,"R1-8","Single-Family Residential-8","{}",16,"{""16"": []}"
246,23,"R1-7","Single-Family Residential-7","{}",16,"{""16"": []}"
247,23,"R1-6","Single-Family Residential-6","{}",16,"{""16"": []}"
248,23,"R1-5","Single-Family Residential-5","{}",16,"{""16"": []}"
249,23,"R1-4","Single-Family Residential-4","{}",16,"{""16"": []}"
250,23,"R1-PAD","Single-Family Residential Planned Area Development","{}",16,"{""16"": []}"
251,23,"R-2","Multi-Family Residential","{}",16,"{""16"": []}"
252,23,"R-3R","Multi-Family Residential Restricted","{}",16,"{""16"": []}"
253,23,"R-3","Multi-Family Residential Limited","{}",16,"{""16"": []}"
254,23,"R-4","Multi-Family Residential General","{}",16,"{""16"": []}"
255,23,"R-5","Multi-Family Residential High Density","{}",16,"{""16"": []}"
256,23,"MHS","Manufactured Housing Subdivision","{}",16,"{""16"": []}"
257,23,"RMH","Mobile Home Residence","{}",16,"{""16"": []}"
258,23,"TP","Trailer Park","{}",16,"{""16"": []}"
259,23,"CC","City Center","{}",16,"{""16"": []}"
260,23,"CSS","Commercial Shopping and Services","{}",16,"{""16"": []}"
261,23,"MU-1","Mixed-Use, Low-Medium Density","{}",16,"{""16"": []}"
262,23,"MU-2","Mixed-Use, Medium Density","{}",16,"{""16"": []}"
263,23,"MU-3","Mixed-Use, Medium-High Density","{}",16,"{""16"": []}"
264,23,"MU-4","Mixed-Use, High Density","{}",16,"{""16"": []}"
265,23,"MU-ED","Mixed-Use Educational","{}",16,"{""16"": []}"
266,23,"PCC-1","Planned Commercial Center Neighborhood","{}",16,"{""16"": []}"
267,23,"PCC-2","Planned Commercial Center General","{}",16,"{""16"": []}"
268,23,"RCC","Regional Commercial Center","{}",16,"{""16"": []}"
269,23,"R/O","Residential/Office","{}",16,"{""16"": []}"
270,23,"LID","Light Industrial District","{}",16,"{""16"": []}"
271,23,"GID","General Industrial District","{}",16,"{""16"": []}"
272,23,"HID","Heavy Industrial District","{}",16,"{""16"": []}"
273,23,"SFR","Single-family District","{}",16,"{""16"": []}"
274,23,"MF","Multi-family District","{}",16,"{""16"": []}"
275,23,"MH","Mobile Home District","{}",16,"{""16"": []}"
276,23,"RSOD","Rio Salado Overlay District","{1673}",16,"{""16"": [1673]}"
277,23,"STOD","Southwest Tempe Overlay District","{1687}",16,"{""16"": [1687]}"
278,23,"GIOD","General Industrial Overlay District","{1709}",16,"{""16"": [1709]}"
279,23,"PAD Overlay","Planned Area Development Overlay District","{1723}",16,"{""16"": [1723]}"
280,23,"HOD","Historic Overlay District","{1731}",16,"{""16"": [1731]}"
281,23,"TOD","Transportation Overlay District","{1750}",16,"{""16"": [1750]}"
282,23,"AFDPA","ASU Atheletic Facilities District Planning Area","{1983}",16,"{""16"": [1983]}"
283,22,"RR","Residential Rural","{6457}",15,"{""15"": [6457]}"
284,22,"R-1","Residential Low Density","{6471,7867}",15,"{""15"": [6471, 7867]}"
285,22,"R-2","Residential Medium Density","{6487,7867}",15,"{""15"": [6487, 7867]}"
286,22,"R-3","Residential High Density","{6502}",15,"{""15"": [6502]}"
287,22,"SHD-RO","Surprise Heritage District—Residential Overlay","{7867}",15,"{""15"": [7867]}"
288,22,"SHD-CO","Surprise Heritage District—Commercial Overlay","{}",15,"{""15"": []}"
289,22,"TND-R","Traditional Neighborhood Development—Residential","{}",15,"{""15"": []}"
290,22,"TND-C","Traditional Neighborhood Development—Commercial","{}",15,"{""15"": []}"
291,22,"TND-MU","Traditional Neighborhood Development—Mixed Use","{}",15,"{""15"": []}"
292,22,"TND-OS","Traditional Neighborhood Development—Open Space","{}",15,"{""15"": []}"
293,22,"MU-1","Mixed Use Medium Density","{6686}",15,"{""15"": [6686]}"
294,22,"MU-2","Mixed Use High Density","{6706}",15,"{""15"": [6706]}"
295,22,"MU-3","Mixed Use Resort","{6730}",15,"{""15"": [6730]}"
296,22,"C-O","Office Commercial","{}",15,"{""15"": []}"
297,22,"C-1","Neighborhood Commercial","{}",15,"{""15"": []}"
298,22,"C-2","Community Commercial","{}",15,"{""15"": []}"
299,22,"C-3","Regional Commercial","{}",15,"{""15"": []}"
300,22,"BP","Business Park","{}",15,"{""15"": []}"
301,22,"I-1","Light Industrial","{}",15,"{""15"": []}"
302,22,"I-2","General Industrial","{}",15,"{""15"": []}"
303,22,"I-3","Heavy Industrial","{}",15,"{""15"": []}"
304,22,"OS-1","Open Space Conservation","{6868}",15,"{""15"": [6868]}"
305,22,"OS-2","Open Space Recreation","{6882}",15,"{""15"": [6882]}"
306,22,"PF","Public Facilities","{6893}",15,"{""15"": [6893]}"
307,22,"(P)","Planned Unit Development","{6899}",15,"{""15"": [6899]}"
308,15,"AG","Agricultural District","{741,942,948}",3,"{""3"": [741, 942, 948]}"
309,15,"R1-43","Single-Family Residential 43","{742,945,2881}",3,"{""3"": [742, 945, 2881]}"
310,15,"R1-18","Single-family 18","{752}",3,"{""3"": [752]}"
311,15,"R1-10","Single-family 10","{753}",3,"{""3"": [753]}"
312,15,"R1-6","Single-family 6","{754,943}",3,"{""3"": [754, 943]}"
313,15,"R1-3","Single-family 3","{755}",3,"{""3"": [755]}"
314,15,"R1-1","Single-family 1","{756}",3,"{""3"": [756]}"
315,15,"SFF","Single-Family Flex","{757,2342}",3,"{""3"": [757, 2342]}"
316,15,"MF-1","Multi-family 1","{758}",3,"{""3"": [758]}"
317,15,"MF-2","Multi-family 2","{759}",3,"{""3"": [759]}"
318,15,"MH","Manufactured Home/RV Park","{760}",3,"{""3"": [760]}"
319,15,"NMU","Neighborhood Mixed Use","{768,769,944}",3,"{""3"": [768, 769, 944]}"
320,15,"CMU","Community Mixed Use","{769,946}",3,"{""3"": [769, 946]}"
321,15,"RMU","Regional Mixed Use","{770}",3,"{""3"": [770]}"
322,15,"IMU","Industrial Mixed Use","{771,947}",3,"{""3"": [771, 947]}"
323,15,"DC","Downtown Commercial","{772}",3,"{""3"": [772]}"
324,15,"DR","Downtown Residential","{773,948}",3,"{""3"": [773, 948]}"
325,15,"PO","Professional Office","{779,2932}",3,"{""3"": [779, 2932]}"
326,15,"C-1","Neighborhood Commercial","{780}",3,"{""3"": [780]}"
327,15,"C-2","Community Commercial","{781}",3,"{""3"": [781]}"
328,15,"C-3","Regional Commercial","{782}",3,"{""3"": [782]}"
329,15,"BP","Business Park","{771,783}",3,"{""3"": [771, 783]}"
330,15,"I-1","Light Industrial","{783,789,790}",3,"{""3"": [783, 789, 790]}"
331,15,"I-2","Heavy Industrial","{790}",3,"{""3"": [790]}"
332,15,"PAD","Planned Area Development","{802,943,3466,3470}",3,"{""3"": [802, 943, 3466, 3470]}"
333,15,"CMP","Community Master Plan","{792,945,3466,3470}",3,"{""3"": [792, 945, 3466, 3470]}"
334,15,"AREOD","Apache Rainbow Employment Overlay District","{811}",3,"{""3"": [811]}"
335,15,"AOD","Airport Overlay District","{875}",3,"{""3"": [875]}"
336,16,"AG-1","Agricultural District","{2303}",4,"{""4"": [2303]}"
337,16,"SF-33","Single-Family District","{2317,2329,2343}",4,"{""4"": [2317, 2329, 2343]}"
338,16,"SF-18","Single-Family District","{2317,2329,2343}",4,"{""4"": [2317, 2329, 2343]}"
339,16,"SF-10","Single-Family District","{2317,2329,2343}",4,"{""4"": [2317, 2329, 2343]}"
340,16,"SF-8.5","Single-Family District","{2317,2329,2343}",4,"{""4"": [2317, 2329, 2343]}"
341,16,"MF-1","Medium-Density Residential District","{2351}",4,"{""4"": [2351]}"
342,16,"MF-2","Multiple-Family Residential District","{2364}",4,"{""4"": [2364]}"
343,16,"MF-3","High-Density Residential District","{2370}",4,"{""4"": [2370]}"
344,16,"MH-1","Mobile Home District","{2376}",4,"{""4"": [2376]}"
345,16,"C-1","Neighborhood Commercial District","{2385}",4,"{""4"": [2385]}"
346,16,"C-2","Community Commercial District","{2398}",4,"{""4"": [2398]}"
347,16,"C-3","Regional Commercial District","{2405}",4,"{""4"": [2405]}"
348,16,"I-1","Planned Industrial District","{2412}",4,"{""4"": [2412]}"
349,16,"I-2","General Industrial District","{2425}",4,"{""4"": [2425]}"
350,16,"PAD","Planned Area Development","{2432}",4,"{""4"": [2432]}"
353,16,"AP-1","Airport District","{3383}",4,"{""4"": [3383]}"
354,16,"A.R.O.D.","Adaptive Reuse Overlay District","{3476}",4,"{""4"": [3476]}"
355,16,"HP","Historic Preservation","{3494}",4,"{""4"": [3494]}"
356,27,"CAR","Commercial Agricultural Ranch Zoning District","{}",13,"{""13"": []}"
357,27,"SR","Suburban Ranch Zoning District","{}",13,"{""13"": []}"
358,27,"SR-1","Suburban Ranch Zoning District 1","{}",13,"{""13"": []}"
359,27,"SH","Suburban Homestead Zoning District","{}",13,"{""13"": []}"
360,27,"GR","General Rural Zoning District","{}",13,"{""13"": []}"
361,27,"GR-5","General Rural Zoning District 5","{}",13,"{""13"": []}"
362,27,"GR-10","General Rural Zoning District 10","{}",13,"{""13"": []}"
363,27,"CR-1A","Single Residence Zoning District","{}",13,"{""13"": []}"
364,27,"CR-1","Single Residence Zoning District 1","{}",13,"{""13"": []}"
365,27,"CR-2","Single Residence Zoning District 2","{}",13,"{""13"": []}"
366,27,"CR-3","Single Residence Zoning District 3","{}",13,"{""13"": []}"
367,27,"CR-4","Multiple Residence Zoning District 4","{}",13,"{""13"": []}"
368,27,"CR-5","Multiple Residence Zoning District 5","{}",13,"{""13"": []}"
369,27,"MH","Manufactured Home Zoning District","{}",13,"{""13"": []}"
370,27,"RV","Recreational Vehicle Homesite Zoning District","{}",13,"{""13"": []}"
371,27,"MHP","Manufactured Home Park Zoning District","{}",13,"{""13"": []}"
372,27,"PM/RVP","Park Model (PM) And Recreational Vehicle (RVP) Park Zone","{}",13,"{""13"": []}"
373,27,"TR","Transitional Zoning District","{}",13,"{""13"": []}"
374,27,"CB-1","Local Business Zoning District","{}",13,"{""13"": []}"
375,27,"CB-2","General Business Zoning District","{}",13,"{""13"": []}"
376,27,"CI-B","Industrial Buffer Zoning District","{}",13,"{""13"": []}"
377,27,"CI-1","Light Industry and Warehouse Zoning District","{}",13,"{""13"": []}"
378,27,"CI-2","Industrial Zoning District","{}",13,"{""13"": []}"
379,27,"PAD","Planned Area Development Overlay Zoning District","{}",13,"{""13"": []}"
380,27,"DR","Design Review","{}",13,"{""13"": []}"
381,27,"RU-10","Rural Zoning District 10","{}",13,"{""13"": []}"
382,27,"RU-5","Rural Zoning District 5","{}",13,"{""13"": []}"
383,27,"RU-3.3","Rural Zoning District 3.3","{}",13,"{""13"": []}"
384,27,"RU-2","Rural Zoning District 2","{}",13,"{""13"": []}"
385,27,"RU-1.25","Rural Zoning District 1.25","{}",13,"{""13"": []}"
386,27,"RU-C","Rural Zoning District","{}",13,"{""13"": []}"
387,27,"R-43","Single Residence Zoning District 43","{}",13,"{""13"": []}"
388,27,"R-35","Single Residence Zoning District 35","{}",13,"{""13"": []}"
389,27,"R-20","Single Residence Zoning District 20","{}",13,"{""13"": []}"
390,27,"R-12","Single Residence Zoning District 12","{}",13,"{""13"": []}"
391,27,"R-9","Single Residence Zoning District 9","{}",13,"{""13"": []}"
392,27,"R-7","Single Residence Zoning District 7","{}",13,"{""13"": []}"
393,27,"MD","Mixed Dwelling Zoning District","{}",13,"{""13"": []}"
394,27,"MR","Multiple Residence Zoning District","{}",13,"{""13"": []}"
395,27,"AC-1","Activity Center Zoning District 1","{}",13,"{""13"": []}"
396,27,"AC-2","Activity Center Zoning District 2","{}",13,"{""13"": []}"
397,27,"AC-3","Activity Center Zoning District 3","{}",13,"{""13"": []}"
398,27,"O-1","Minor Office Zoning District","{}",13,"{""13"": []}"
399,27,"O-2","General Office Zoning District","{}",13,"{""13"": []}"
400,27,"C-1","Neighborhood Commercial Zoning District","{}",13,"{""13"": []}"
401,27,"C-2","Community Commercial Zoning District","{}",13,"{""13"": []}"
402,27,"C-3","General Commercial Zoning District","{}",13,"{""13"": []}"
403,27,"I-1","Industrial Buffer Zoning District","{}",13,"{""13"": []}"
404,27,"I-2","Light Industrial and Warehouse Zoning District","{}",13,"{""13"": []}"
405,27,"I-3","Industrial Zoning District","{}",13,"{""13"": []}"
406,27,"MH-8","Manufactured Home Zoning District","{}",13,"{""13"": []}"
407,27,"MHP-435","Manufactured Home Park Zoning District","{}",13,"{""13"": []}"
408,27,"PM/RVP-435","Park Model/Recreational Vehicle Park Zoning District","{}",13,"{""13"": []}"
409,27,"MP-CMP","Multi-Purpose Community Master Plan Zoning District","{}",13,"{""13"": []}"
410,27,"L-MPC","Large Master Plan Community Zoning District","{}",13,"{""13"": []}"
411,20,"AG","Agricultural","{472,639}",10,"{""10"": [472, 639]}"
412,20,"AU","Agricultural-Urban","{}",10,"{""10"": []}"
413,20,"R1-10","Single Family Residential 10","{}",10,"{""10"": []}"
414,20,"R1-7","Single Family Residential (Detached) 7","{}",10,"{""10"": []}"
415,20,"R1-6","Single Family Residential (Detached) 6","{}",10,"{""10"": []}"
416,20,"R1-4","Single Family Residential (Detached) 4","{}",10,"{""10"": []}"
417,20,"R1-A","Single Family Residential (Attached)","{}",10,"{""10"": []}"
418,20,"R1-C","Single Family Residential (Court Home)","{}",10,"{""10"": []}"
419,20,"R2","Two Family Residential","{}",10,"{""10"": []}"
420,20,"MF-12","Multi-Family Residential 12","{}",10,"{""10"": []}"
421,20,"MF-18","Multi-Family Residential 18","{}",10,"{""10"": []}"
422,20,"MF-24","Multi-Family Residential 24","{}",10,"{""10"": []}"
423,20,"MHS","Manufactured Home Subdivision","{}",10,"{""10"": []}"
424,20,"MH/RVP","Manufactured Home Park or Recreational Vehicle Park","{}",10,"{""10"": []}"
425,20,"C-O","Commercial Office","{652}",10,"{""10"": [652]}"
426,20,"C-1","Neighborhood Commercial","{675}",10,"{""10"": [675]}"
427,20,"C-2","General Commercial","{709}",10,"{""10"": [709]}"
428,20,"CBD","Central Business District","{783}",10,"{""10"": [783]}"
429,20,"PFD","Public Facilities District","{812}",10,"{""10"": [812]}"
430,20,"I-1","Light Industrial Park","{926}",10,"{""10"": [926]}"
431,20,"I-2","General Industrial Park","{966}",10,"{""10"": [966]}"
432,20,"P-PAD","Preliminary Planned Area Development","{}",10,"{""10"": []}"
433,20,"F-PAD","Final Planned Area Development","{}",10,"{""10"": []}"
434,17,"OSC","Open Space Conservation District","{}",6,"{""6"": []}"
435,17,"OSR","Open Space Recreational District","{}",6,"{""6"": []}"
436,17,"OSP","Open Space Preservation District","{}",6,"{""6"": []}"
437,17,"R-190","Single-Family Zoning District","{}",6,"{""6"": []}"
438,17,"R1-43","Single-Family Residential Zoning District 43","{}",6,"{""6"": []}"
439,17,"R1-35","Single-Family Residential Zoning District 35","{}",6,"{""6"": []}"
440,17,"R1-35H","Single-Family Residential Hillside Zoning District 35H","{}",6,"{""6"": []}"
441,17,"R1-18","Single-Family Residential Zoning District 18","{}",6,"{""6"": []}"
442,17,"R1-10","Single-Family Residential Zoning District 10","{}",6,"{""6"": []}"
443,17,"R1-10A","Single-Family Residential Zoning District 10A","{}",6,"{""6"": []}"
444,17,"R1-8","Single-Family Residential Zoning District 8","{}",6,"{""6"": []}"
445,17,"R1-8A","Single-Family Residential Zoning District 8A","{}",6,"{""6"": []}"
446,17,"R1-6","Single-Family Residential Zoning District 6","{}",6,"{""6"": []}"
447,17,"R1-6A","Single-Family Residential Zoning District 6A","{}",6,"{""6"": []}"
448,17,"M-1","Multiple-Family Residential Zoning District 1","{}",6,"{""6"": []}"
449,17,"M-2","Multiple-Family Residential Zoning District 2","{}",6,"{""6"": []}"
450,17,"M-3","Multiple-Family Residential Zoning District 3","{}",6,"{""6"": []}"
451,17,"R-2","Two-Family Residential Zoning District 2","{}",6,"{""6"": []}"
452,17,"R-3","Multiple-Family Residential Zoning District 3","{}",6,"{""6"": []}"
453,17,"R-4","Multiple-Family Residential Zoning District 4","{}",6,"{""6"": []}"
454,17,"R-5","Multiple-Family Residential Zoning District 5","{}",6,"{""6"": []}"
455,17,"C-O","Commercial Office Zoning District","{}",6,"{""6"": []}"
456,17,"C-C","Common-Commercial Zoning District","{}",6,"{""6"": []}"
457,17,"C-1","Neighborhood Commercial Professional District","{}",6,"{""6"": []}"
458,17,"C-2","Intermediate Commercial Zoning District","{}",6,"{""6"": []}"
459,17,"C-3","General Commercial Zoning District","{}",6,"{""6"": []}"
460,17,"IND-1","Planned Industrial Zoning District","{}",6,"{""6"": []}"
461,17,"IND-2","Light Industrial Zoning District","{}",6,"{""6"": []}"
462,17,"UT","Utility Zoning District","{}",6,"{""6"": []}"
463,17,"MH","Mobile Home Zoning District","{}",6,"{""6"": []}"
464,17,"L-1","Lodging Zoning District 1","{}",6,"{""6"": []}"
465,17,"L-2","Lodging Zoning District 2","{}",6,"{""6"": []}"
466,17,"L-3","Lodging Zoning District 3","{}",6,"{""6"": []}"
467,17,"TCCD","Town Center Commercial Zoning District","{}",6,"{""6"": []}"
468,17,"P.A.D.","Planned Area Development","{}",6,"{""6"": []}"
469,17,"EOD","Entertainment Overlay District","{}",6,"{""6"": []}"
470,17,"PSPOD","Planned Shopping Plaza Overlay District","{}",6,"{""6"": []}"
471,25,"R","Rural District","{1540}",18,"{""18"": [1540]}"
472,25,"R-3","Single-Family Dwelling District - 3","{1604}",18,"{""18"": [1604]}"
473,25,"R-2","Two-Family Dwelling District - 2","{1626}",18,"{""18"": [1626]}"
474,25,"R-1","Multiple-Family Dwelling District - 1","{1645}",18,"{""18"": [1645]}"
475,25,"C-1","Commercial District - 1","{1666}",18,"{""18"": [1666]}"
476,25,"C-2","Commercial District - 2","{1759}",18,"{""18"": [1759]}"
477,25,"R-43","Rural residential Dwelling District - 43","{1563}",18,"{""18"": [1563]}"
478,25,"PAD","Planned Area Overlay District","{1884}",18,"{""18"": [1884]}"
479,25,"P","Open Space District","{1937}",18,"{""18"": [1937]}"
480,25,"R-NC","RESIDENTIAL DISTRICT WITH NEIGHBORHOOD COMMERCIAL OVERLAY","{1861}",18,"{""18"": [1861]}"
481,21,"RE","Residential Estate","{403}",11,"{""11"": [403]}"
482,21,"R1","Low Density Residential - 1","{420}",11,"{""11"": [420]}"
483,21,"R1-15","Low Medium Density Residential - 15","{437}",11,"{""11"": [437]}"
484,21,"R1-8","Medium Density Residential - 8","{454}",11,"{""11"": [454]}"
485,21,"R1-6","High Medium Density Residential - 6","{471}",11,"{""11"": [471]}"
486,21,"RC","(Cluster) High Density Residential","{488}",11,"{""11"": [488]}"
487,21,"MFL","Low Density Multifamily Residential","{508}",11,"{""11"": [508]}"
488,21,"MFM","Medium Density Multifamily Residential","{538}",11,"{""11"": [538]}"
489,21,"MFH","High Density Multifamily Residential","{563}",11,"{""11"": [563]}"
490,21,"PH","Patio Home Residential","{587}",11,"{""11"": [587]}"
491,21,"RT","Resort","{607}",11,"{""11"": [607]}"
492,21,"NC","Neighborhood Commercial","{619}",11,"{""11"": [619]}"
493,21,"CS","Community Commercial","{652}",11,"{""11"": [652]}"
494,21,"RS","Regional Commercial","{684}",11,"{""11"": [684]}"
495,21,"I","General Industrial","{716}",11,"{""11"": [716]}"
496,21,"OS","Open Space","{746}",11,"{""11"": [746]}"
497,21,"PD","Planned Development","{760}",11,"{""11"": [760]}"
